"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EditorLandscapeResources/SelectBrushMaterial.SelectBrushMaterial","0","10","10","2","5.320980","0","10"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","2","2","1","1.666534","0","2"
"/Game/Maya/TopHatBand.TopHatBand","0","3","3","1","1.999181","0","3"
"/Engine/EditorLandscapeResources/LandscapeDirtyMaterial.LandscapeDirtyMaterial","0","5","5","1","2.720069","0","5"
"/Engine/EditorLandscapeResources/ColorMaskBrushMaterial.ColorMaskBrushMaterial","0","5","5","1","2.550375","0","5"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","14","14","1","6.495196","0","14"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","9","9","1","8.181020","0","9"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","6","6","1","4.633760","0","6"
"/Game/Characters/AlienSkins/Custom/Glow/M_GlowWhite.M_GlowWhite","0","3","3","1","1.951394","0","3"
"/Engine/EngineDebugMaterials/VertexColorViewMode_RedOnly.VertexColorViewMode_RedOnly","0","10","10","1","7.227812","0","10"
"/Game/Characters/AlienSkins/Defaults/M_ShipTertiary.M_ShipTertiary","0","3","3","1","2.006809","0","3"
"/Game/Materials/BodyColors/M_alien.M_alien","0","6","6","1","3.913672","0","6"
"/Game/Materials/M_DomeOn.M_DomeOn","0","16","16","1","11.542719","0","16"
"/Game/Materials/transparent.transparent","0","8","8","1","5.444490","0","8"
"/Game/Characters/AlienSkins/Custom/M_Indigo.M_Indigo","0","3","3","1","2.008885","0","3"
"/Game/Materials/M_Indicator.M_Indicator","0","16","16","1","11.602555","0","16"
"/Game/Maya/CrownGem2.CrownGem2","0","3","3","1","2.088736","0","3"
"/Game/Characters/AlienSkins/Custom/M_Cyan.M_Cyan","0","3","3","1","1.857921","0","3"
"/Game/Materials/M_Glow1.M_Glow1","0","16","16","1","12.043312","0","16"
"/Niagara/DefaultAssets/DefaultRIbbonMaterial.DefaultRibbonMaterial","0","30","35","1","27.117861","0","35"
"/Niagara/DefaultAssets/DefaultSpriteMaterial.DefaultSpriteMaterial","0","40","45","1","33.718246","0","45"
"/Game/Characters/AlienSkins/Custom/Glow/M_GlowLime.M_GlowLime","0","3","3","1","1.931603","0","3"
"/Game/Materials/M_Metal2.M_Metal2","0","6","6","1","3.995400","0","6"
"/Game/Materials/Invis.Invis","0","16","16","1","11.761452","0","16"
"/Game/Maya/CrownGem1.CrownGem1","0","3","3","1","2.098689","0","3"
"/Game/Materials/M_DomeOff.M_DomeOff","0","16","16","1","0.000000","0","16"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","5","6","1","3.591280","0","6"
"/Game/Maya/Screen.Screen","0","3","3","1","2.089744","0","3"
"/Game/Characters/AlienSkins/Custom/M_White.M_White","0","3","3","1","2.141854","0","3"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","5","5","1","0.964126","0","5"
"/Game/Materials/M_Metal.M_Metal","0","6","6","1","4.308222","0","6"
"/Game/Materials/BodyColors/M_Maroon.M_Maroon","0","3","3","1","1.944413","0","3"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","6","6","1","5.913611","0","6"
"/Engine/EditorLandscapeResources/MaskBrushMaterial.MaskBrushMaterial","0","5","5","1","2.960197","1","5"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","0","14","14","1","7.346332","0","14"
"/Game/Materials/M_Bounds2.M_Bounds2","0","8","8","1","5.658027","0","8"
"/Game/Characters/AlienSkins/Custom/M_Maroon.M_Maroon","0","3","3","1","2.019051","0","3"
"/Game/Materials/M_Brown1.M_Brown1","0","3","3","1","2.051005","0","3"
"/Game/Characters/AlienSkins/Defaults/M_Scelera.M_Scelera","0","3","3","1","2.044288","0","3"
"/Game/Characters/AlienSkins/Custom/M_Red.M_Red","0","3","3","1","1.974726","0","3"
"/Game/Materials/M_Glow3.M_Glow3","0","3","3","1","2.002635","0","3"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","6","6","1","4.331319","0","6"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","5","5","1","0.951535","0","5"
"/Game/Materials/M_GlassSpecial.M_GlassSpecial","0","16","16","1","11.459000","0","16"
"/Engine/VREditor/BasicMeshes/M_Floor_01.M_Floor_01","0","3","3","1","2.668501","0","3"
"/Game/Maya/CrownBase.CrownBase","0","3","3","1","1.947518","0","3"
"/Game/Maya/MechBodyMetal.MechBodyMetal","0","3","3","1","1.954710","0","3"
"/Game/Maya/MetallicBody.MetallicBody","0","3","3","1","1.784172","0","3"
"/Game/Maya/WhiteEyes.WhiteEyes","0","3","3","1","1.616342","0","3"
"/Game/Maya/TopHatBase.TopHatBase","0","3","3","1","1.470649","0","3"
"/Game/Maya/CrownSecondary.CrownSecondary","0","3","3","1","1.213320","0","3"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","14","0","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","609","0","1","0.000000","0","0"
"Globals","49","15778","0","1","0.000000","0","0"
"/Game/Materials/CustomizeBackground.CustomizeBackground","49","16","16","1","0.000000","0","16"
"/Game/Characters/Input/Maya/lambert2.lambert2","49","24","24","1","0.000000","0","24"
"/Game/Characters/Input/Maya/pasted__blinn4.pasted__blinn4","49","16","16","1","113.172646","0","16"
"/Game/Characters/Input/Maya/openPBR_shader1.openPBR_shader1","49","16","16","1","93.881561","0","16"
"/Engine/EngineDebugMaterials/BlackUnlitMaterial1.BlackUnlitMaterial1","49","19","19","1","0.000000","0","19"
"/Game/Materials/m_black.m_black","49","21","21","1","0.000000","0","21"
"/Game/Characters/Input/Maya/Maya_Blinn1.Maya_Blinn1","49","16","16","1","50.705635","0","16"
"/Game/Characters/Input/Maya/blinn4.blinn4","49","16","16","1","0.000000","0","16"
"/Game/Characters/Input/Maya/M_Hands.M_Hands","49","24","24","1","0.000000","0","24"
"/Game/Materials/whitecube.whitecube","49","21","21","1","0.000000","0","21"
"/Engine/OpenWorldTemplate/LandscapeMaterial/M_ProcGrid.M_ProcGrid","49","13","13","1","29.614220","0","13"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","49","44","48","1","0.000000","0","48"
"/Game/Characters/AlienSkins/RenderCams/RT_Rival1_Mat.RT_Rival1_Mat","49","13","13","1","4.219017","0","13"
"/InterchangeAssets/gltf/M_Transmission.M_Transmission","49","54","54","2","0.000000","0","54"
"/Game/Characters/AlienSkins/RenderCams/M_DistortedCamera1.M_DistortedCamera1","49","13","13","1","0.000000","0","13"
"/Game/Characters/AlienSkins/RenderCams/RT_Rival2_Mat.RT_Rival2_Mat","49","13","13","1","0.000000","0","13"
"/InterchangeAssets/gltf/M_Default.M_Default","49","166","184","6","0.000000","0","184"
"/InterchangeAssets/gltf/M_Sheen.M_Sheen","49","158","168","6","0.000000","0","168"
"/InterchangeAssets/gltf/M_ClearCoat.M_ClearCoat","49","166","184","6","0.000000","0","184"
"/Game/Materials/M_Speedup.M_Speedup","49","13","13","1","16.573336","0","13"
"/Game/Materials/M_Bounds5.M_Bounds5","49","13","13","1","9.129546","0","13"
"/Game/Materials/M_DomeOn1.M_DomeOn1","49","21","21","1","22.702591","0","21"
"/Game/Materials/M_Bounds3.M_Bounds3","49","13","13","1","5.361233","0","13"
"/Game/Materials/openPBR_shader1.openPBR_shader1","49","13","13","1","0.000000","0","13"
